#Z-Density law   : SECH-SQUARED
#Z Scaleheight   :       1.6000 KPC
#Accuracy        :            1
#Mass of disk    :      26.4893 10**9 MSUN
# 
#   Radius      Density      Velocity   
#    KPC       MSUN/PC**2     KM/SEC    
#---------------------------------------
#    0.00000     0.00000       0.000000
    0.88000     0.00000      -4.696964
    2.22000     0.00000     -12.050764
    3.11000     0.00000     -17.216588
    4.00000     0.00000     -22.765919
    4.89000     0.00000     -28.918742
    5.78000     0.00000     -35.904606
    6.67000     0.00000     -44.624587
    7.56000     5.91643     -53.728147
    8.44000    15.99894     -57.168391
    9.33000    25.16056     -55.552933
   10.22000    32.05549     -47.725934
   11.11000    35.26449     -36.859700
   12.00000    42.05732       1.479308
   12.89000    46.29908      46.000566
   13.78000    49.04638      69.667259
   14.67000    49.48513      91.391610
   15.56000    47.61569     111.784670
   16.44000     0.00000     130.067193
