#Z-Density law   : SECH-SQUARED
#Z Scaleheight   :       0.5000 KPC
#Accuracy        :            1
#Mass of disk    :      26.4893 10**9 MSUN
# 
#   Radius      Density      Velocity   
#    KPC       MSUN/PC**2     KM/SEC    
#---------------------------------------
#    0.00000     0.00000       0.000000
    0.88000     0.00000      -4.845264
    2.22000     0.00000     -12.460237
    3.11000     0.00000     -17.855525
    4.00000     0.00000     -23.724393
    4.89000     0.00000     -30.377553
    5.78000     0.00000     -38.236808
    6.67000     0.00000     -48.840021
    7.56000     5.91643     -62.170589
    8.44000    15.99894     -66.474048
    9.33000    25.16056     -65.049114
   10.22000    32.05549     -56.456170
   11.11000    35.26449     -47.258864
   12.00000    42.05732     -29.102926
   12.89000    46.29908      40.188692
   13.78000    49.04638      69.999070
   14.67000    49.48513      96.661083
   15.56000    47.61569     122.706004
   16.44000     0.00000     153.187299
