#UGC 9133 #SPARC is a database of 175 late-type galaxies (spirals and irregulars) with Spitzer photometry at 3.6 mu (tracing the stellar mass distribution) and high-quality HI+Halpha rotation curves (tracing the gravitational potential out to large radii).
# Distance = 57.1 Mpc		
# Rad	Vobs	errV
# kpc	km/s	km/s
0.32	284	34.7
0.63	282	18.8
0.95	281	12.6
1.26	280	10.6
1.58	280	10.8
1.89	279	7.67
2.21	279	11.2
2.52	279	4.45
2.84	279	5.03
3.15	279	4.26
3.47	279	4.14
3.79	279	5.73
4.1	280	4.52
4.42	280	4.86
4.73	280	1.59
5.05	281	1.85
5.36	282	4.81
5.68	282	20.3
5.99	283	12.8
6.31	284	8.08
6.62	284	7.81
6.94	285	10.4
7.57	286	6.82
7.89	287	13.4
8.2	287	10.5
8.31	288	2.93
8.52	288	5.58
8.83	288	5.74
9.15	288	7
9.78	289	12.7
10.1	289	3.89
11.04	288	5.02
11.36	288	3.39
11.67	288	10.7
13.57	285	4.07
13.88	284	8.92
14.2	284	5.69
16.61	278	9.14
19.35	273	6.1
22.19	269	2.26
24.92	265	1.32
27.66	262	3.15
30.5	257	4.71
33.23	252	4.96
35.96	247	2.58
38.8	242	2.52
41.54	238	2.3
44.27	235	0.63
47.11	236	1.4
49.84	239	2.07
52.58	242	2.63
55.42	245	1.64
58.15	247	1.31
60.89	246	2.14
63.62	243	4
66.46	239	4.67
69.19	234	5.12
71.93	230	2.1
74.77	228	1.32
77.5	228	1.6
80.23	227	3.16
83.07	226	3.48
85.81	224	3.71
88.54	222	1.49
91.38	222	1.18
94.12	224	1.22
99.69	227	2.8
108.31	229	4.12
