    ID        RA        DEC    i775   sig_i775  
   229   53.1716   -27.8208   29.04       0.13  
   263   53.1758     -27.82   29.47        0.3  
   327   53.1627    -27.819   29.54       0.14  
   344   53.1669   -27.8188    29.9       0.15  
   534   53.1604   -27.8161   29.76       0.33  
   591   53.1553   -27.8152   32.08       2.03  
   777   53.1705   -27.8124   29.14       0.11  
  1148    53.152   -27.8082   29.32       0.14  
  1149   53.1799   -27.8082   29.91       0.19  
  1283   53.1417   -27.8069   29.29       0.16  
  1309   53.1423   -27.8068   30.45        0.3  
  1312   53.1389   -27.8067   30.53       0.37  
  1526   53.1667   -27.8042   26.68       0.02  
  1690   53.1657   -27.8034   29.24       0.12  
  1790   53.1304   -27.8023    28.9       0.12  
  1793   53.1462   -27.8025   30.02       0.18  
  1813   53.1775   -27.8025   29.56       0.17  
  1852   53.1408   -27.8021    29.2       0.11  
  1874   53.1462   -27.8019   30.01       0.26  
  2007   53.1783   -27.8009   31.94       1.27  
  2279   53.1439   -27.7989   28.64       0.08  
  2330   53.1359   -27.7983   28.13       0.05  
  2386   53.1429   -27.7982   29.16       0.13  
  2408   53.1429    -27.798   29.05       0.16  
  2413   53.1428   -27.7978   28.63       0.09  
  2490   53.1595   -27.7976   29.07       0.11  
  2521   53.1526   -27.7972   29.38       0.27  
  2760   53.1393   -27.7958   29.47       0.15  
  2789   53.1732   -27.7956   29.52        0.2  
  2966   53.1227   -27.7946   29.13       0.15  
  3003   53.1461   -27.7945   31.43       0.85  
  3527   53.1256   -27.7912   29.13       0.18  
  4266   53.1619    -27.787   30.09       0.18  
  4321   53.1862   -27.7866   29.63       0.24  
  4353   53.1616   -27.7863   29.66       0.21  
  4715   53.1348   -27.7841   29.84       0.27  
  4987   53.1773   -27.7824   31.16       0.88  
  5207   53.1862   -27.7793    30.0       0.19  
  5443   53.1595   -27.7715   29.57       0.22  
  5506   53.1661    -27.772   30.69       0.61  
  5509   53.1606   -27.7715   29.89        0.2  
  5596   53.1793   -27.7732   31.23       0.66  
  5655    53.152   -27.7782   28.48       0.11  
  5919   53.1562   -27.7757   29.62       0.18  
  6061   53.1363    -27.777    30.5       0.33  
  6175   53.1384   -27.7787   28.94       0.11  
  6242   53.1421   -27.7798   28.73        0.1  
  6383   53.1677   -27.7681   30.48       0.47  
  6570   53.1726    -27.767   30.74       0.56  
  6697   53.1551   -27.7607    30.6       0.48  
  6749    53.154    -27.766   30.34       0.34  
  6786   53.1644   -27.7621   30.35       0.35  
  6850   53.1628   -27.7608   28.41       0.06  
